Mixture	Astrocyte	Endothelial	Microglia	Excitatory	Inhibitory	Oligo	P-value	Correlation	RMSE
Astrocytes.f.3_PAG	0.98128560701576	0	0	0	0	0.01871439298424	0	0.639997631624706	0.861830034099278
Astrocytes.f.3_SC	0.928598053321889	0	0	0	0	0.0714019466781112	0	0.577525575454509	0.911943558964862
Astrocytes.f.3_SS	0.966528505447043	0	0	0.0207994980296329	0	0.0126719965233236	0	0.600350906778284	0.901435202315272
Inputs.13_SCa	0.277863751974125	0.0272001462846096	0	0.220286718729027	0.179706457205874	0.294942925806364	0	0.543120990060724	0.840501136098542
Inputs.13_SCb	0.264281983686799	0.0283586775998977	0	0.226342977770954	0.199177777745325	0.281838583197024	0	0.544681008106034	0.838790068439451
Inputs.13_SCc	0.280058332988729	0.017629695873519	0	0.239569609646009	0.182619804386262	0.28012255710548	0	0.521110050235485	0.854691920297152
Inputs.13_SSa	0.130132922867579	0.00360987397416156	0	0.819560632465301	0	0.0466965706929585	0	0.464280044442703	0.897244411021371
Inputs.13_SSb	0.128703898624352	0.0120637971634267	0	0.819415913314163	0	0.0398163908980586	0	0.464325704527308	0.897525768552423
Inputs.13_SSc	0.116758238253667	0.0104061538897312	0	0.82526227577119	0	0.0475733320854117	0	0.470172380200097	0.895913032782396
Inputs.14_SCa	0.258579316172588	0.00967541604559939	0	0.255106364259039	0.190290366178655	0.286348537344118	0	0.552053307990181	0.833866275644446
Inputs.14_SCb	0.27984307925478	0.0109621730255506	0	0.253174735926607	0.201132005538177	0.254888006254886	0	0.530199000882484	0.847997845756712
Inputs.14_SCc	0.269157960349754	0.0208844031871753	0	0.244807246635504	0.180096962125326	0.285053427702241	0	0.536560257801757	0.844379585968166
Inputs.14_SSa	0.127105401707003	0.00720338269968284	0	0.828281906957179	0	0.0374093086361346	0	0.462983142653307	0.898220098958776
Inputs.14_SSb	0.142109146442962	0.00871848602550628	0	0.814265703069845	0	0.0349066644616865	0	0.465173666216537	0.896402318561367
Inputs.14_SSc	0.105435941545129	0.0201545038480426	0	0.797072011831926	0	0.0773375427749031	0	0.470163508307657	0.895024491115723
Inputs.15_SCa	0.27089186025076	0.0227810969754806	0	0.219736983653966	0.190182379772669	0.296407679347124	0	0.556827358893215	0.830859418630941
Inputs.15_SCb	0.266213301291407	0.0224335539517183	0	0.241441556931723	0.172815012468074	0.297096575357078	0	0.563671553361053	0.826045488819784
Inputs.15_SCc	0.295231562914193	0.0140319734406514	0	0.250382113844332	0.149681562361377	0.290672787439447	0	0.532318464759061	0.848147960470873
Inputs.15_SSa	0.136020816158408	0.0112664771787295	0	0.815663784424523	0	0.0370489222383396	0	0.462953240781675	0.897612815106171
